"key","plural1","plural2","plural3","plural4","plural5","plural6","value"
"do not remove or edit row above, even though it looks wrong"

"Global.score","Wertung"
"route.group.report.page-title","Social Media Monitor Report"




"route.presence.index.page-title","Auftritte"
"route.presence.index.table-empty","Es konnten keine Auftritte gefunden werden"

"route.presence.new.page-title","Neuer Auftritt"

"route.presence.delete.message.success","Auftritt gelöscht"

"route.presence.assign.message.success","Der Auftritt wurde dem Benutzer zugewiesen"

"route.presence.view.page-title","Auftritt: %presence%"
"route.presence.view.info.presence-type","Dies ist ein %type% Auftritt"
"route.presence.view.info.presence.score","Die %type% Engagement Wertung von gestern: %score%%"
"route.presence.view.info.presence.average-score","Monatlich durchschnittliche %type% Wertung: %score%%"
"route.presence.view.info.twitter.score","Klout Wertung von gestern: %score%%"
"route.presence.view.info.twitter.average-score","Monatlich durchschnittliche Klout Wertung von: %score%%"
"route.presence.view.info.owner-name","Dieser Auftritt trägt zu der Statistik für %link% bei"
"route.presence.view.info.target-audience","Die Größe der Zielgruppe beträgt %size%"
"route.presence.view.info.current-audience","Die Größe der Zielgruppe beträgt %size%"
"route.presence.view.info.time-to-target","Bei der aktuellen Rate wird das Ziel am %date% erreicht sein"
"route.presence.view.info.daily-gains","Der folgende Zuwachs pro Tag ist nötig um die geplante Zielgruppengröße zu erreichen:"
"route.presence.view.info.gain-per-day","Benötigter Zuwachs pro Tag"

"route.presence.compare.page-title","Vergleichen von %count% Auftritten"
"route.presence.compare.presence-handle","Handle"
"route.presence.compare.table-empty","Keine Auftritte gefunden"
"route.presence.compare.button.create-sbu","SBU erstellen"
"route.presence.compare.chart-title","Wertung der letzten 30 Tage:"

"route.presence.edit.page-title","Auftritt bearbeiten"
"route.presence.edit.message.success","Auftritt gespeichert"
"route.presence.edit.label.handle","Name"
"route.presence.edit.label.type","Typ"
"route.presence.edit.label.size","Größe"
"route.presence.edit.label.signed-off","Signed Off"
"route.presence.edit.label.branding","Branding"
"route.presence.edit.hint.connect-account","Bitte verbinden Sie ihren Account mit %title%"
